,Country.Name,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017
2,Afghanistan,100,100,100,100,100,100,100,100
3,Angola,100,100,100,100,100,100,100,100
4,Albania,100,100,100,100,100,100,100,100
5,Andorra,99.95663582,100,99.95599732,97.68595932,16.59898025,90.84806274,17.41955772,17.82445949
6,Arab World,100,100,100,100,100,100,100,100
7,United Arab Emirates,100,100,100,100,100,100,100,100
8,Argentina,99.44764132,99.53041309,99.21768856,99.026464,98.31406401,98.02192869,94.13945992,93.85282467
9,Armenia,100,100,100,100,100,100,100,100
10,American Samoa,100,100,100,100,100,100,100,100
11,Antigua and Barbuda,100,100,100,100,100,100,100,100
12,Australia,32.97097298,36.32342315,30.65454271,28.27405946,27.10551384,26.04666675,24.90420852,24.89358377
13,Austria,98.45154185,99.25717078,97.41014309,95.76835515,93.78567197,91.47446535,85.01593469,85.05153767
14,Azerbaijan,100,100,100,100,100,100,100,100
15,Burundi,100,100,100,100,100,100,100,100
16,Belgium,99.49558887,99.35474206,98.42810981,96.80229286,94.48915243,95.10434538,91.78911483,91.94854035
17,Benin,100,100,100,100,100,100,100,100
18,Burkina Faso,100,100,100,100,100,100,100,100
19,Bangladesh,100,100,100,100,100,100,100,100
20,Bulgaria,99.96438954,99.96465041,99.96493776,99.96527947,99.9657025,99.96623179,99.89349344,99.89467432
21,Bahrain,100,100,100,100,100,100,100,100
22,"Bahamas, The",100,100,100,100,100,100,99.99999999,99.99999999
23,Bosnia and Herzegovina,100,100,100,100,100,100,99.95544692,99.95523503
24,Belarus,100,100,100,100,100,100,100,99.93135197
25,Belize,100,100,100,100,100,100,100,100
26,Bermuda,100,100,100,100,100,100,100,100
27,Bolivia,100,100,100,100,100,99.9997323,99.99748599,99.99913202
28,Brazil,90.93812329,91.92837459,86.82923025,85.33471375,77.11647309,74.92775153,67.95255918,68.13503006
29,Barbados,100,100,100,100,100,100,100,100
30,Brunei Darussalam,1.767244424,1.767920142,1.768517699,0,0,0,0,0
31,Bhutan,100,100,100,100,100,100,100,100
32,Botswana,100,100,100,100,100,100,100,100
33,Central African Republic,100,100,100,100,100,100,100,100
34,Canada,13.66721763,18.72081855,8.338183945,6.630326768,2.023391521,0.725554042,0,0
35,Central Europe and the Baltics,98.79088116,98.78222425,98.60853583,98.53582675,98.36080183,98.42037073,97.96652394,97.94979912
36,Switzerland,93.00070455,94.78523508,91.82091436,86.91049745,78.49918639,72.31110734,49.33945364,49.30013623
38,Chile,99.28649823,99.31976119,99.29948107,99.30199962,99.15045175,98.57629893,97.59441874,97.66301771
39,China,99.99999743,99.99999754,99.99999299,99.99999054,99.99995845,99.99995516,99.99829865,99.99829446
40,Cote d'Ivoire,100,100,100,100,100,100,100,100
41,Cameroon,100,100,100,100,100,100,100,100
42,"Congo, Dem. Rep.",100,100,100,100,100,100,100,100
43,"Congo, Rep.",100,100,100,100,100,100,100,100
44,Colombia,99.87603724,99.8381953,99.85618013,99.35286059,97.48104423,96.338151,92.74339524,92.10462898
45,Comoros,100,100,100,100,100,100,100,100
46,Cabo Verde,100,100,100,100,100,100,100,100
47,Costa Rica,100,100,100,100,100,99.97998602,99.71706666,99.68879337
48,Caribbean small states,100,100,100,100,100,99.99997952,99.99888157,99.99873809
49,Cuba,100,100,100,100,100,100,100,100
52,Cyprus,100,100,100,100,100,100,100,100
53,Czech Republic,99.96840965,99.96851952,99.94347175,99.92720102,99.91786085,99.82828388,99.67485548,99.67721262
54,Germany,99.59944007,99.44802945,98.29506796,97.84632154,95.72529588,95.95259594,89.15466272,89.17435643
55,Djibouti,100,100,100,100,100,100,100,100
56,Dominica,100,100,100,100,100,100,100,100
57,Denmark,96.09901417,98.95868163,85.47423363,78.75029356,82.83430732,75.18744118,57.09176238,56.91445611
58,Dominican Republic,100,100,100,100,99.97857173,99.97859822,99.91388391,99.91344262
59,Algeria,100,100,100,100,100,100,100,100
60,East Asia & Pacific (excluding high income),99.51433289,99.721305,99.90983797,99.16939177,99.13491901,99.38309134,99.13886262,99.09287859
61,Early-demographic dividend,99.68743109,99.82681831,99.94165039,99.48548828,99.45134876,99.58943902,99.38439899,99.3532373
62,East Asia & Pacific,98.26664929,98.48222089,98.38293096,97.72241451,97.56201112,97.81811645,96.84481712,96.87766442
63,Europe & Central Asia (excluding high income),98.54976722,98.4009424,98.14997624,97.45723633,97.17899967,96.7617366,96.39550615,96.38606164
64,Europe & Central Asia,93.60181522,94.3579123,92.27599459,91.08123679,88.31219385,88.61739936,85.08026888,85.06900432
65,Ecuador,99.99971749,99.99709267,99.9987849,99.97453985,99.63520089,99.38916952,98.65234837,98.31562394
66,"Egypt, Arab Rep.",100,100,100,100,100,100,100,100
67,Euro area,91.43220795,92.65376348,89.29121217,87.65739486,82.77039957,84.39633167,77.25749077,77.36932339
68,Eritrea,100,100,100,100,100,100,100,100
69,Spain,72.15110766,78.727385,68.4927049,60.6831518,47.71914768,55.15272487,40.724385,41.11554943
70,Estonia,6.476011614,6.169849362,1.178708266,0.263896,0.258944001,0,0,0
71,Ethiopia,100,100,100,100,100,100,100,100
72,European Union,90.91019111,92.12669001,88.9583477,87.46584606,82.88343646,83.86448262,78.1804199,78.14422805
73,Fragile and conflict affected situations,100,100,100,100,100,100,99.99992408,99.9998144
74,Finland,0.73514962,0.737042448,0,0,0,0,0,0
75,Fiji,100,100,100,100,99.99426434,99.97864842,93.69405468,82.80318235
76,France,99.47900777,99.69818014,98.61152778,97.4091023,87.84524972,90.41211847,78.27749787,78.21356392
78,"Micronesia, Fed. Sts.",100,100,100,100,100,100,99.99999998,99.99999998
79,Gabon,100,100,100,100,100,100,100,100
80,United Kingdom,87.50243472,90.3821513,84.78734267,82.41659414,72.0666772,71.9634942,67.10067313,66.53324903
81,Georgia,100,100,100,100,100,100,100,100
82,Ghana,100,100,100,100,100,100,100,100
84,Guinea,100,100,100,100,100,100,100,100
85,"Gambia, The",100,100,100,100,100,100,100,100
86,Guinea-Bissau,100,100,100,100,100,100,100,100
87,Equatorial Guinea,100,100,100,100,100,100,100,100
88,Greece,100,100,100,100,100,100,100,100
89,Grenada,100,100,100,100,100,100,100,100
90,Greenland,100,100,100,100,98.76045629,98.75354563,80.10090371,80.01601067
91,Guatemala,100,100,100,100,100,100,100,100
92,Guam,100,100,100,100,91.66666667,100,83.33333333,83.33333333
93,Guyana,100,100,100,100,100,99.99980863,99.98953471,99.98817732
94,High income,73.6989085,76.83768624,69.42170712,66.49000635,61.43543214,60.89669417,55.30071891,55.39602914
96,Honduras,100,100,100,100,100,99.99887667,99.98207531,99.98352171
97,Heavily indebted poor countries (HIPC),99.99942247,99.99943475,99.99944701,99.99945923,99.99937622,99.9993707,99.99890027,99.99895202
98,Croatia,100,100,100,100,100,100,99.78069913,99.77960527
99,Haiti,100,100,100,100,100,100,100,100
100,Hungary,100,100,100,100,100,100,100,100
101,IBRD only,99.22897502,99.36011094,99.16933955,98.70328794,98.25274375,98.20629388,97.52759114,97.40215444
102,IDA & IBRD total,99.41040245,99.51211399,99.36850141,99.01752306,98.67145449,98.64195581,98.13421952,98.04498352
103,IDA total,99.99604,99.99649333,99.99532692,99.99438893,99.95694659,99.96252647,99.94935395,99.94329912
104,IDA blend,99.98904668,99.99038972,99.9887776,99.98668522,99.98165477,99.98814085,99.97135502,99.95505624
105,Indonesia,96.42305878,98.06412739,99.51360267,94.21097786,94.49722032,96.1423725,95.69352975,95.56714726
106,IDA only,99.99960275,99.99960892,99.99867452,99.99833207,99.9442837,99.9493864,99.93806041,99.93726229
108,India,100,100,100,100,100,100,100,100
110,Ireland,49.33923499,56.87936973,29.96477012,27.36131406,3.611993262,2.718190834,0.273735769,0.274091679
111,"Iran, Islamic Rep.",100,100,100,100,100,100,100,100
112,Iraq,100,100,100,100,100,100,100,100
113,Iceland,16.81281434,16.96763852,13.19362565,12.84403823,12.1246396,11.98495478,11.10046178,10.28521579
114,Israel,100,100,100,100,100,100,100,100
115,Italy,98.11216648,98.57762205,97.84864873,97.26338617,96.58307004,96.75457394,94.54848442,94.777214
116,Jamaica,100,100,100,100,100,100,100,100
117,Jordan,100,100,100,100,100,100,100,100
118,Japan,92.58883122,92.56048747,89.13152401,89.80213203,87.81962942,88.66865042,75.41211147,76.76150823
119,Kazakhstan,97.2109484,97.53209832,96.22187137,95.65702147,91.60699878,92.6415526,87.15238088,87.41423053
120,Kenya,100,100,100,100,100,100,100,100
121,Kyrgyz Republic,100,100,99.84093894,99.78157274,98.07187745,99.10894838,97.40665321,97.43255692
122,Cambodia,100,100,100,100,100,100,100,100
123,Kiribati,100,100,100,99.99999992,99.99999958,99.99999957,99.9999995,99.9999995
125,"Korea, Rep.",100,100,100,100,100,100,100,100
126,Kuwait,100,100,100,100,100,100,100,100
127,Latin America & Caribbean (excluding high income),96.76820857,97.12591834,95.33409331,94.76677649,91.68732575,90.81489362,87.79732405,87.79374974
128,Lao PDR,100,100,100,100,100,100,100,100
129,Lebanon,100,100,100,100,100,100,100,100
130,Liberia,100,100,100,100,100,100,100,100
131,Libya,100,100,100,100,100,100,100,100
132,St. Lucia,100,100,100,100,100,100,100,100
133,Latin America & Caribbean,96.568146,97.02092611,94.98024286,94.32009457,91.13225897,90.2630894,87.20176643,87.21491182
134,Least developed countries: UN classification,100,100,100,100,100,100,100,99.99994684
135,Low income,100,100,100,100,100,100,100,100
137,Sri Lanka,100,100,100,100,100,100,69.06296284,45.53841726
138,Lower middle income,99.67622396,99.82424359,99.95388502,99.46907782,99.46660529,99.63198251,99.49563942,99.46973707
139,Low & middle income,99.42048686,99.51740252,99.39225873,99.04436711,98.71388458,98.68892851,98.19387349,98.10415125
140,Lesotho,100,100,100,100,100,100,100,100
141,Late-demographic dividend,98.59392387,98.70349644,98.05216205,97.68580592,96.69976004,96.4044058,95.24457787,95.01690295
142,Lithuania,99.93703877,99.936274,99.93550171,99.93471758,99.93391988,99.5312153,97.07495748,95.99985931
143,Luxembourg,99.87426795,99.87655673,90.9053329,89.43147575,78.01659635,79.97926683,68.73273003,68.77562274
144,Latvia,99.55003468,99.26025289,97.97096003,96.58677022,96.62907823,92.27308655,89.41149817,89.0140462
147,Morocco,100,100,100,100,100,100,100,100
149,Moldova,100,100,100,100,100,100,100,100
150,Madagascar,100,100,100,100,100,100,100,100
151,Maldives,99.99999846,99.99999851,99.99999854,99.99999848,8.40E-08,6.87E-08,0,0
152,Middle East & North Africa,100,100,100,100,100,100,100,100
153,Mexico,99.93565185,99.94654393,99.93348652,99.91486566,99.7621771,99.71526554,99.656644,99.65612655
154,Marshall Islands,100,100,100,99.99999885,99.99999883,99.9999988,99.99999634,99.99999626
155,Middle income,99.35597961,99.46294195,99.32277038,98.93369292,98.56298508,98.53300161,97.97602586,97.87213401
156,North Macedonia,100,100,100,100,100,100,100,100
157,Mali,100,100,100,100,100,100,100,100
158,Malta,100,100,100,100,100,100,100,100
159,Myanmar,100,100,100,100,100,100,100,100
160,Middle East & North Africa (excluding high income),100,100,100,100,100,100,100,100
161,Montenegro,100,100,100,100,100,100,100,100
162,Mongolia,98.13814086,98.35710531,98.074227,97.70801597,96.83417056,97.95178478,96.83175233,97.01398059
163,Northern Mariana Islands,100,100,100,100,30.76923077,34.61538462,26.92307692,26.92307692
164,Mozambique,100,100,100,100,100,100,100,100
165,Mauritania,100,100,100,100,100,100,100,100
166,Mauritius,100,100,100,100,100,100,100,100
167,Malawi,100,100,100,100,100,100,100,100
168,Malaysia,96.99731116,97.47653099,98.16901013,94.02458549,92.00610059,93.50817804,90.41989266,90.53734381
169,North America,35.7940943,43.92054902,26.64815674,19.435707,10.7754225,7.706956345,3.016645808,3.022545414
170,Namibia,100,100,100,100,100,100,100,100
172,Niger,100,100,100,100,100,100,100,100
173,Nigeria,100,100,100,100,100,100,100,100
174,Nicaragua,99.93810046,99.93853213,99.93897528,99.93943253,99.92908546,99.92951799,99.90322898,99.90269513
175,Netherlands,100,100,100,99.87044972,99.83441405,99.81168269,99.59579833,99.59814148
176,Norway,11.88874562,31.41142832,2.894365392,2.236189866,2.245509395,2.024656744,2.034288278,2.0438378
177,Nepal,100,100,100,100,100,100,100,100
179,New Zealand,9.81955069,9.776035735,4.472606438,0.352390197,0.350996258,0.349574374,0,0
180,OECD members,75.86625994,78.72118222,72.03275629,69.39320977,64.86147618,64.38604777,59.32953784,59.44277563
181,Oman,100,100,100,100,100,100,100,100
182,Other small states,92.7301444,92.87222223,92.72872051,92.79188652,91.37490084,91.43577782,91.49657788,91.54464997
183,Pakistan,100,100,100,100,100,100,100,100
184,Panama,96.21783,97.22883275,96.61297445,93.47575967,90.52608058,87.28942893,72.13426654,71.63674766
185,Peru,100,100,100,99.99976584,99.99952668,99.97338889,99.96870207,99.96292629
186,Philippines,100,99.99524119,99.99693349,99.71480136,99.01975306,99.43309287,96.81597569,96.37065877
188,Papua New Guinea,100,100,100,100,100,100,99.99548932,99.99516574
189,Poland,100,100,100,99.99621648,99.98156642,99.99621497,99.96609131,99.96611573
190,Pre-demographic dividend,100,100,100,100,100,100,100,100
191,Puerto Rico,62.3853211,71.55963303,45.87155963,32.11009174,15.59633028,14.67889908,3.669724771,3.669724771
192,"Korea, Dem. Peopleâ€™s Rep.",100,100,100,100,100,100,100,100
193,Portugal,53.00973616,57.452384,30.88129227,30.89886297,25.18319789,27.45849405,14.71847244,16.00835663
194,Paraguay,100,100,100,100,100,100,98.93517738,99.05830825
195,West Bank and Gaza,100,100,100,100,100,100,100,100
196,Pacific island small states,100,100,100,99.99999997,99.99782473,99.99198651,97.64699336,93.6298962
197,Post-demographic dividend,72.28597221,75.521499,67.78178977,64.64431843,59.37713878,58.76629581,52.76971287,52.80316539
199,Qatar,100,100,100,100,100,100,100,100
200,Romania,100,100,99.58100827,99.40746472,98.52413489,99.37909475,97.90706909,98.01746488
201,Russian Federation,96.2900289,95.82223265,95.32326071,93.45096234,93.32059119,91.8274019,91.7079918,91.609329
202,Rwanda,100,100,100,100,100,100,100,100
203,South Asia,100,100,100,100,99.97482029,99.9739962,99.60279905,99.32090016
204,Saudi Arabia,100,100,100,100,100,100,100,100
205,Sudan,100,100,100,100,100,100,100,100
206,Senegal,100,100,100,100,100,100,100,100
207,Singapore,100,100,100,100,100,100,100,100
208,Solomon Islands,100,100,100,100,100,100,100,99.91756319
209,Sierra Leone,100,100,100,100,100,100,100,100
210,El Salvador,100,100,100,100,100,100,100,100
212,Somalia,100,100,100,100,100,100,100,100
213,Serbia,100,100,100,100,100,100,100,100
214,Sub-Saharan Africa (excluding high income),100,100,100,100,100,100,100,100
215,South Sudan,100,100,100,100,100,100,100,100
216,Sub-Saharan Africa,100,100,100,100,100,100,100,100
217,Small states,94.61389742,94.6996011,94.57463306,94.60496321,93.5247918,93.55073985,93.43647253,93.2138575
218,Sao Tome and Principe,100,100,100,100,100,100,100,100
219,Suriname,100,100,100,100,100,100,100,100
220,Slovak Republic,100,100,100,100,100,100,100,100
221,Slovenia,100,100,99.83625221,99.83610299,99.79339245,99.79371471,99.47412541,99.49102528
222,Sweden,4.326183371,5.884544297,3.595308585,3.475081808,3.676452145,3.555146241,3.595702677,3.636487382
223,Eswatini,100,100,100,100,100,100,100,100
225,Seychelles,100,100,100,100,100,100,100,100
226,Syrian Arab Republic,100,100,100,100,100,100,100,100
228,Chad,100,100,100,100,100,100,100,100
229,East Asia & Pacific (IDA & IBRD countries),99.50817745,99.71778027,99.90870008,99.15893125,99.12404809,99.37535611,99.12809124,99.08156065
230,Europe & Central Asia (IDA & IBRD countries),98.68952113,98.55428382,98.32643942,97.69791872,97.44306305,97.06419396,96.72548165,96.71491124
231,Togo,100,100,100,100,100,100,100,100
232,Thailand,100,100,100,100,100,100,100,100
233,Tajikistan,100,100,100,100,100,100,100,100
234,Turkmenistan,100,100,100,100,100,100,100,100
235,Latin America & the Caribbean (IDA & IBRD countries),96.71816386,97.12070716,95.18142842,94.58124489,91.40764112,90.51051333,87.42365291,87.42372192
236,Timor-Leste,100,100,100,100,100,100,100,100
237,Middle East & North Africa (IDA & IBRD countries),100,100,100,100,100,100,100,100
238,Tonga,100,100,100,100,100,100,99.80641697,99.81259193
239,South Asia (IDA & IBRD),100,100,100,100,99.97482029,99.9739962,99.60279905,99.32090016
240,Sub-Saharan Africa (IDA & IBRD countries),100,100,100,100,100,100,100,100
241,Trinidad and Tobago,100,100,100,100,100,100,100,100
242,Tunisia,100,100,100,100,100,100,100,100
243,Turkey,100,100,100,100,100,100,100,100
245,Tanzania,100,100,100,100,100,100,100,100
246,Uganda,100,100,100,100,100,100,100,100
247,Ukraine,100,100,100,100,100,100,100,100
248,Upper middle income,99.011268,99.0709143,98.63281218,98.34417526,97.56110614,97.30611643,96.26827817,96.06506901
249,Uruguay,85.45845617,93.26190735,60.50843033,55.38994434,28.73578061,26.44415702,22.39524307,22.38574466
250,United States,38.21303236,46.68619853,28.65808101,20.84055734,11.73129721,8.465306507,3.334435592,3.34317037
251,Uzbekistan,100,100,100,100,100,100,100,100
252,St. Vincent and the Grenadines,100,100,100,100,100,100,100,100
253,"Venezuela, RB",100,100,100,99.99991345,99.99774982,99.99508316,99.93307859,99.93366243
255,Virgin Islands (U.S.),100,100,100,100,50,50,40,40
256,Vietnam,100,100,100,100,100,100,100,100
257,Vanuatu,100,100,100,100,100,100,99.99999999,99.99999999
258,World,95.14550323,95.77399906,94.47466426,93.73405133,92.66760518,92.5945969,91.31647869,91.29966957
259,Samoa,100,100,100,100,100,100,100,100
261,"Yemen, Rep.",100,100,100,100,100,100,100,100
262,South Africa,100,100,100,100,100,100,100,100
263,Zambia,100,100,100,100,100,100,100,100
264,Zimbabwe,100,100,100,100,100,100,100,100
